event,channel,waveform_index_save,dt_ns_coinc,dt_ns_save,channel_coincident_left,waveform_index_coincident_left,channel_coincident_right,waveform_index_coincident_right
19,2080,221,80,48,2031,354,2060,312
19,2080,223,32,0,2031,357,2060,313
19,2080,228,48,-16,2030,489,2060,316
19,2080,229,64,16,2031,365,2060,317
19,2080,233,32,16,2031,373,2060,323
19,2081,432,48,32,2031,330,2060,297
19,2081,440,80,48,2030,481,2060,308
19,2081,447,80,64,2031,354,2060,312
19,2081,449,32,-32,2031,357,2060,313
19,2081,454,48,16,2030,489,2060,316
19,2081,455,80,0,2030,490,2060,317
19,2081,460,32,-48,2031,373,2060,323
20,2080,369,32,0,2030,87,2060,153
20,2080,370,-64,-112,2030,89,2060,154
20,2080,375,48,0,2030,91,2060,160
20,2080,379,-48,-80,2030,96,2060,170
20,2080,380,64,-96,2031,131,2061,434
20,2080,382,-32,-32,2031,136,2060,176
20,2080,385,16,16,2030,108,2060,180
20,2080,388,16,-64,2031,143,2060,181
20,2080,389,48,-16,2031,144,2061,440
20,2081,60,32,-16,2030,87,2060,153
20,2081,65,48,-16,2030,91,2060,160
20,2081,69,-48,-64,2030,96,2060,170
20,2081,70,64,-96,2031,131,2061,434
20,2081,72,-32,-32,2031,136,2060,176
20,2081,77,16,0,2030,108,2060,180
20,2081,79,16,-80,2031,143,2060,181
20,2081,80,48,-32,2031,144,2061,440
21,2080,265,16,-64,2031,339,2060,302
21,2080,273,96,-16,2031,345,2060,310
21,2080,275,-64,-48,2030,419,2060,312
21,2080,280,-16,-48,2031,350,2060,315
21,2081,519,48,-32,2031,335,2060,300
21,2081,521,16,-48,2031,339,2060,302
21,2081,529,96,0,2031,345,2060,310
21,2081,532,-64,-80,2030,419,2060,312
21,2081,537,-16,-48,2031,350,2060,315
21,2081,540,0,-48,2031,353,2060,319
22,2080,132,48,0,2030,351,2060,219
22,2080,134,64,-32,2031,260,2060,221
22,2080,137,0,-16,2030,361,2060,226
22,2080,138,32,-16,2031,267,2060,227
22,2080,140,32,-32,2031,269,2061,302
22,2080,143,96,-16,2031,271,2060,231
22,2080,150,16,16,2031,285,2060,238
22,2080,151,48,-32,2030,382,2061,315
22,2081,436,48,0,2030,351,2060,219
22,2081,438,64,-16,2031,260,2060,221
22,2081,439,80,0,2030,356,2060,222
22,2081,442,0,-16,2030,361,2060,226
22,2081,443,32,-32,2031,267,2060,227
22,2081,445,32,-32,2031,269,2061,302
22,2081,448,96,-64,2031,271,2060,231
22,2081,454,16,16,2031,285,2060,238
22,2081,455,48,-16,2030,382,2061,315
23,2080,349,-64,32,2031,414,2061,541
23,2080,353,80,-16,2031,417,2060,384
23,2080,359,-48,-16,2030,132,2061,554
23,2080,373,96,16,2031,440,2060,405
23,2080,376,48,-16,2031,450,2061,564
23,2080,378,32,-16,2031,452,2060,411
23,2081,227,80,0,2031,417,2060,384
23,2081,232,-48,-32,2030,132,2061,554
