event,channel,waveform_index_save,dt_ns_coinc,dt_ns_save,channel_coincident_left,waveform_index_coincident_left,channel_coincident_right,waveform_index_coincident_right
5,1020,48,16,32,2031,141,2060,187
5,1020,52,16,16,2031,148,2061,299
5,1020,54,48,48,2030,239,2060,199
5,1020,70,32,48,2031,174,2061,317
5,1020,83,32,48,2031,183,2061,321
5,1021,941,16,32,2031,141,2060,187
5,1021,967,32,32,2031,174,2061,317
5,1021,981,32,64,2031,183,2061,321
5,1040,637,32,64,2030,219,2060,185
5,1040,642,0,-16,2030,222,2060,186
5,1040,643,16,48,2031,141,2060,187
5,1040,652,32,0,2030,231,2061,299
5,1040,681,32,32,2031,174,2061,317
5,1041,697,32,48,2030,219,2060,185
5,1041,702,0,-16,2030,222,2060,186
5,1041,704,16,32,2031,141,2060,187
5,1041,713,16,48,2031,148,2061,299
5,1041,745,32,32,2031,174,2061,317
5,1060,1161,0,0,2030,222,2060,186
5,1060,1162,16,32,2031,141,2060,187
5,1060,1206,32,-16,2031,183,2061,321
5,1061,1211,0,0,2030,222,2060,186
5,1061,1213,16,-16,2031,141,2060,187
5,1061,1260,32,0,2031,183,2061,321
5,1080,986,0,-16,2030,222,2060,186
5,1080,987,16,16,2031,141,2060,187
5,1080,995,16,0,2031,148,2061,299
5,1080,1026,32,32,2031,183,2061,321
5,1081,4,0,-16,2030,222,2060,186
5,1081,5,16,0,2031,141,2060,187
5,1081,13,16,0,2031,148,2061,299
5,1081,43,32,48,2031,183,2061,321
5,2010,498,48,64,2030,239,2060,199
5,2010,513,32,48,2031,183,2061,321
5,2011,449,48,64,2030,239,2060,199
5,2011,465,32,64,2031,183,2061,321
5,2080,372,48,0,2031,136,2060,185
5,2080,399,32,0,2031,174,2061,317
5,2081,471,48,-16,2031,136,2060,185
5,2081,494,48,-32,2030,254,2061,317
6,1020,1323,16,0,2030,104,2060,275
6,1020,1335,32,64,2030,111,2060,285
6,1020,1337,16,32,2030,113,2060,287
6,1020,1354,80,80,2031,257,2060,304
6,1020,1358,64,48,2030,123,2060,307
6,1021,1214,16,32,2030,104,2060,275
6,1021,1248,80,96,2031,257,2060,304
6,1040,956,16,0,2030,104,2060,275
6,1040,982,64,80,2031,254,2060,296
6,1040,991,80,80,2031,257,2060,304
6,1041,608,16,0,2030,104,2060,275
6,1041,637,64,64,2031,254,2060,296
6,1041,646,80,80,2031,257,2060,304
6,1060,4,16,0,2030,104,2060,275
6,1060,10,0,0,2030,106,2061,203
6,1060,21,32,48,2030,111,2060,285
6,1060,24,16,0,2030,113,2060,287
6,1060,46,0,16,2031,259,2060,305
6,1060,49,32,80,2030,126,2060,311
6,1060,51,48,0,2030,129,2060,314
6,1061,552,16,16,2030,104,2060,275
6,1061,556,0,32,2030,106,2061,203
6,1061,571,16,32,2030,113,2060,287
6,1061,594,0,16,2031,259,2060,305
6,1061,598,32,64,2030,126,2060,311
6,1061,601,48,16,2030,129,2060,314
6,1080,1270,0,16,2030,106,2061,203
6,1080,1278,32,48,2030,111,2060,285
6,1080,1281,16,16,2030,113,2060,287
6,1080,1292,64,64,2031,254,2060,296
6,1080,1303,80,96,2031,257,2060,304
6,1080,1304,0,16,2031,259,2060,305
6,1080,1306,64,32,2030,123,2060,307
6,1080,1309,32,64,2030,126,2060,311
6,1080,1311,48,0,2030,129,2060,314
6,1081,71,32,48,2030,111,2060,285
6,1081,82,64,80,2031,254,2060,296
6,1081,92,80,80,2031,257,2060,304
6,1081,93,0,0,2031,259,2060,305
6,1081,95,64,32,2030,123,2060,307
6,1081,99,48,-16,2030,129,2060,314
6,2010,429,0,48,2030,106,2061,203
6,2010,442,0,32,2031,259,2060,305
6,2010,443,64,32,2030,123,2060,307
6,2011,398,0,16,2030,106,2061,203
6,2011,412,0,16,2031,259,2060,305
6,2011,413,64,32,2030,123,2060,307
6,2080,489,16,-48,2030,104,2060,275
6,2080,493,0,-16,2031,240,2060,277
6,2080,502,64,0,2031,247,2060,287
6,2080,508,64,0,2031,254,2060,296
6,2080,513,80,16,2031,257,2060,304
