event,channel,waveform_index_save,dt_ns_coinc,dt_ns_save,channel_coincident_left,waveform_index_coincident_left,channel_coincident_right,waveform_index_coincident_right
72,2071,588,16,48,2031,279,2060,322
72,2080,539,-16,0,2040,136,2051,358
72,2080,548,-160,144,2031,287,2060,327
72,2081,471,-16,0,2040,136,2051,358
72,2081,480,-160,144,2031,287,2060,327
73,2070,499,144,64,2040,545,2060,251
73,2071,572,144,64,2040,545,2060,251
73,2080,408,16,0,2041,367,2050,461
73,2080,426,32,0,2031,217,2051,352
73,2080,427,48,-16,2031,218,2060,256
73,2080,430,-80,-112,2030,184,2060,260
73,2081,302,0,0,2031,197,2050,461
73,2081,310,16,0,2041,375,2050,467
73,2081,317,48,0,2031,211,2060,247
73,2081,322,48,-16,2031,218,2060,256
73,2081,326,-80,-112,2030,184,2060,260
74,2080,265,48,-32,2031,297,2060,349
74,2080,269,0,-16,2040,127,2050,174
74,2080,271,32,0,2031,314,2061,475
74,2080,286,48,0,2031,335,2060,376
74,2081,80,48,0,2031,297,2060,349
74,2081,84,0,-16,2040,127,2050,174
74,2081,86,48,-32,2030,44,2061,475
74,2081,101,64,0,2030,61,2060,376
75,2071,446,16,16,2030,363,2060,258
75,2080,166,64,32,2031,296,2060,254
75,2080,170,16,0,2040,229,2060,257
75,2080,172,-16,-32,2040,230,2050,139
75,2081,49,64,16,2031,296,2060,254
75,2081,54,-16,0,2040,229,2050,137
75,2081,56,-16,-64,2040,230,2050,139
76,2080,185,0,16,2031,285,2050,144
76,2081,321,16,0,2030,356,2050,144
77,2080,465,64,0,2031,208,2060,260
77,2080,499,-16,-16,2031,252,2050,569
77,2081,592,0,0,2041,158,2050,531
77,2081,625,-16,0,2031,252,2050,569
78,2080,244,16,-16,2040,174,2060,308
78,2080,249,80,0,2031,361,2060,313
78,2080,253,0,-64,2040,187,2060,315
78,2081,466,-32,0,2040,174,2050,215
78,2081,470,80,0,2031,361,2060,313
78,2081,474,0,-80,2040,187,2060,315
80,2080,523,48,-16,2030,154,2060,237
80,2080,533,64,0,2040,302,2060,251
80,2081,455,48,0,2030,154,2060,237
80,2081,465,64,0,2040,302,2060,251
81,2080,335,16,0,2030,117,2050,307
81,2080,337,0,0,2041,153,2051,191
81,2081,213,0,0,2040,265,2050,307
81,2081,216,-16,0,2041,153,2050,312
82,2080,507,64,-16,2031,237,2060,284
82,2080,513,0,16,2030,204,2050,483
82,2081,163,64,-16,2031,237,2060,284
82,2081,169,0,-16,2030,204,2050,483
83,2080,426,-16,0,2041,355,2050,487
83,2081,120,48,0,2041,355,2060,229
84,2080,191,64,-32,2040,349,2060,94
84,2080,201,-16,0,2030,319,2050,64
84,2080,208,16,0,2040,373,2060,111
84,2080,213,0,0,2040,376,2050,78
84,2080,219,16,0,2030,341,2050,89
84,2081,472,64,-32,2040,349,2060,94
84,2081,483,0,0,2030,319,2060,104
84,2081,490,0,-32,2030,326,2050,70
84,2081,497,0,0,2040,376,2050,78
84,2081,503,16,0,2030,341,2050,89
88,2080,366,112,16,2030,118,2060,290
88,2080,378,0,-16,2030,129,2050,430
88,2080,382,0,-16,2041,475,2050,434
88,2080,384,48,0,2031,355,2061,169
88,2081,183,112,0,2030,118,2060,290
88,2081,197,0,0,2041,475,2050,434
88,2081,198,48,16,2031,355,2061,169
90,2070,401,48,48,2030,349,2060,521
90,2071,56,48,32,2030,349,2060,521
90,2080,281,80,-16,2031,479,2060,521
90,2080,288,0,0,2030,355,2050,252
90,2080,295,0,16,2031,492,2050,259
90,2081,79,80,-32,2031,479,2060,521
90,2081,85,16,0,2041,440,2050,252
91,2080,177,-80,-96,2031,267,2060,231
91,2080,198,32,0,2031,287,2061,323
91,2080,201,32,0,2041,407,2050,164
91,2081,99,-80,-80,2031,267,2060,231
91,2081,119,-16,-16,2031,287,2060,248
91,2081,122,16,0,2040,366,2050,164
92,2080,232,16,-16,2030,262,2050,141
92,2080,238,0,0,2030,269,2050,153
92,2080,249,16,0,2040,122,2050,164
92,2081,69,16,0,2030,262,2050,141
92,2081,87,32,0,2030,281,2050,164
94,2080,438,64,0,2031,181,2060,222
94,2080,460,64,-16,2041,373,2061,172
94,2081,496,64,0,2031,181,2060,222
94,2081,517,64,-32,2041,373,2061,172
95,2080,436,32,0,2030,137,2050,266
95,2081,170,32,0,2030,137,2050,266
97,2080,167,32,0,2031,287,2050,221
97,2080,168,32,0,2031,288,2061,117
97,2080,181,0,0,2030,462,2051,150
97,2080,195,-48,16,2031,316,2050,242
97,2081,497,0,0,2040,331,2050,221
97,2081,498,-16,0,2031,288,2051,143
97,2081,512,0,0,2030,462,2051,150
97,2081,524,-48,0,2031,316,2050,242
98,2080,412,-32,-16,2031,234,2050,161
98,2081,447,-32,-48,2031,234,2050,161
99,2070,450,48,96,2041,406,2060,301
99,2071,107,48,80,2041,406,2060,301
99,2080,242,64,0,2040,116,2050,152
99,2080,264,0,0,2040,129,2050,165
99,2080,277,64,0,2030,483,2060,316
99,2081,515,64,-16,2040,116,2050,152
99,2081,537,0,0,2040,129,2050,165
99,2081,549,64,0,2030,483,2060,316
100,2070,213,16,64,2040,62,2051,129
100,2071,261,16,80,2040,62,2051,129
100,2071,265,48,64,2040,75,2060,378
100,2080,330,48,-32,2031,408,2060,376
100,2080,331,64,0,2041,233,2060,378
100,2080,332,0,-16,2030,447,2060,380
100,2081,109,48,-48,2031,408,2060,376
100,2081,110,48,0,2040,75,2060,378
100,2081,111,0,-16,2030,447,2060,380
101,2080,107,16,-16,2040,264,2060,188
101,2080,111,-16,-16,2031,234,2050,160
101,2081,392,-48,16,2040,264,2050,156
101,2081,394,-16,-16,2031,234,2050,160
102,2080,499,64,0,2031,368,2060,409
102,2080,503,0,-16,2041,268,2050,472
102,2081,157,64,0,2031,368,2060,409
102,2081,161,0,0,2030,335,2051,231
103,2080,472,32,0,2031,294,2050,384
103,2080,477,16,-48,2040,190,2060,349
103,2081,534,32,0,2031,294,2050,384
103,2081,539,16,-32,2040,190,2060,349
104,2070,475,0,64,2041,440,2060,226
104,2071,520,0,64,2041,440,2060,226
104,2080,113,-160,-48,2030,493,2061,291
104,2080,130,0,-16,2041,440,2060,226
104,2081,381,-160,-64,2030,493,2061,291
104,2081,396,0,0,2031,276,2050,186
105,2080,363,48,0,2040,231,2060,154
105,2080,364,16,16,2040,233,2050,277
105,2081,500,48,-16,2040,231,2060,154
105,2081,501,16,-64,2040,233,2050,277
105,2081,516,-32,-16,2030,84,2051,322
106,2080,138,0,0,2030,402,2050,108
106,2080,140,-32,16,2030,403,2051,68
106,2081,310,0,-16,2030,402,2050,108
106,2081,311,-32,0,2030,403,2051,68
110,2080,341,32,0,2030,396,2060,577
110,2080,346,64,0,2031,544,2060,583
110,2080,361,32,0,2040,207,2060,601
110,2080,370,-48,0,2040,221,2051,163
110,2081,261,48,0,2031,520,2060,577
110,2081,266,80,-16,2040,193,2060,583
110,2081,281,64,0,2030,427,2060,601
110,2081,289,-48,0,2040,221,2051,163
111,2080,524,64,-16,2041,412,2060,225
111,2081,143,64,0,2041,412,2060,225
112,2080,299,0,0,2031,365,2051,234
112,2081,504,-16,0,2031,365,2050,191
113,2080,145,16,-32,2040,200,2050,108
113,2080,154,0,16,2031,405,2050,124
113,2080,168,64,0,2030,381,2060,466
113,2081,248,0,0,2031,390,2050,108
113,2081,258,0,16,2031,405,2050,124
113,2081,271,48,0,2031,425,2060,466
114,2070,325,16,80,2040,218,2060,180
114,2070,326,48,64,2030,499,2060,182
114,2071,54,16,64,2040,218,2060,180
114,2071,55,48,80,2030,499,2060,182
114,2080,406,-32,0,2040,218,2051,340
114,2080,418,64,-16,2041,275,2060,196
114,2081,89,-48,0,2040,218,2050,370
114,2081,101,96,0,2040,233,2060,196
115,2080,297,0,-32,2041,437,2060,522
115,2081,178,0,-48,2041,437,2060,522
116,2070,515,-16,32,2031,94,2061,279
116,2071,524,-16,64,2031,94,2061,279
116,2080,417,16,-32,2031,88,2050,311
116,2080,420,-32,16,2040,177,2050,317
116,2081,55,16,-16,2031,88,2050,311
116,2081,58,-32,0,2040,177,2050,317
117,2080,237,0,-16,2040,92,2060,453
117,2080,244,-16,-16,2030,311,2050,153
117,2080,265,0,-16,2040,137,2050,176
117,2081,59,-16,-32,2030,311,2050,153
117,2081,81,0,-16,2040,137,2050,176
118,2070,526,0,80,2031,251,2051,154
118,2071,561,0,80,2031,251,2051,154
119,2070,337,16,176,2030,531,2060,452
119,2071,143,16,176,2030,531,2060,452
119,2080,347,16,-16,2031,473,2060,439
119,2080,350,-32,0,2040,218,2060,440
119,2080,351,0,0,2030,524,2050,404
119,2080,375,80,-16,2041,296,2060,461
119,2081,182,-32,16,2041,266,2050,402
119,2081,185,-32,0,2040,218,2060,440
119,2081,186,0,0,2030,524,2050,404
119,2081,207,80,-32,2041,296,2060,461
120,2071,529,-80,16,2041,117,2050,410
120,2081,74,-32,-16,2041,117,2060,202
121,2071,551,32,48,2040,204,2060,252
121,2080,403,32,-32,2031,288,2060,241
121,2080,418,-16,0,2040,204,2051,450
121,2081,337,112,16,2030,575,2060,241
121,2081,351,-32,0,2040,204,2050,160
123,2080,389,-16,0,2041,276,2050,361
123,2080,400,0,0,2030,135,2050,374
123,2081,86,16,0,2040,227,2050,361
123,2081,96,0,0,2030,135,2050,374
124,2080,227,-32,0,2040,343,2050,287
124,2081,500,-32,0,2040,343,2050,287
125,2080,387,0,0,2040,430,2051,321
125,2081,541,-16,0,2040,430,2050,175
126,2080,106,0,0,2031,225,2051,71
126,2080,109,-16,0,2040,302,2050,156
126,2080,110,48,-16,2031,230,2060,196
126,2081,420,-16,-16,2040,302,2050,156
126,2081,421,48,-16,2031,230,2060,196
127,2070,571,48,80,2031,305,2060,350
127,2071,625,48,80,2031,305,2060,350
127,2080,392,32,-32,2031,297,2060,341
127,2080,408,112,16,2040,228,2060,358
127,2081,602,32,-16,2031,297,2060,341
127,2081,619,112,-16,2040,228,2060,358
129,2080,354,32,0,2030,286,2060,104
129,2080,359,-160,-16,2030,291,2051,187
129,2080,362,-144,128,2030,294,2060,115
129,2080,380,32,0,2031,87,2060,130
129,2081,24,32,-16,2030,286,2060,104
129,2081,30,-160,-48,2030,291,2051,187
129,2081,34,-144,112,2030,294,2060,115
129,2081,51,-32,16,2031,87,2050,342
131,2080,511,64,-16,2031,150,2060,201
131,2080,514,-112,128,2031,158,2050,479
131,2080,519,0,-16,2031,161,2050,482
131,2081,70,64,-16,2031,150,2060,201
131,2081,75,-112,128,2031,158,2050,479
132,2070,613,-160,160,2030,560,2050,250
132,2071,123,32,80,2030,547,2060,408
132,2080,282,0,0,2031,455,2050,239
132,2080,285,0,-16,2031,457,2050,242
132,2080,295,-160,256,2030,560,2050,250
132,2081,501,0,0,2031,455,2050,239
132,2081,504,32,0,2030,547,2060,408
132,2081,514,-160,240,2030,560,2050,250
134,2080,170,0,0,2040,330,2051,118
134,2080,191,16,0,2030,533,2051,142
134,2081,466,0,0,2040,330,2051,118
134,2081,489,0,0,2040,377,2051,142
135,2080,215,64,0,2041,464,2060,426
135,2080,226,0,0,2031,391,2050,191
135,2081,83,64,-48,2041,464,2060,426
135,2081,95,0,-32,2031,391,2050,191
136,2080,470,-48,32,2031,227,2050,438
136,2081,157,-48,32,2031,227,2050,438
137,2080,339,-64,16,2030,437,2060,260
137,2081,116,-64,48,2030,437,2060,260
138,2080,215,0,16,2031,301,2050,114
138,2080,228,16,0,2031,312,2051,167
138,2081,373,0,0,2031,301,2050,114
138,2081,388,0,0,2040,80,2051,167
139,2070,302,64,96,2041,270,2060,485
139,2080,410,0,-64,2040,145,2050,373
139,2080,416,80,-16,2040,161,2060,485
139,2080,418,16,0,2030,576,2060,486
139,2081,183,0,-48,2040,145,2050,373
139,2081,190,80,-32,2040,161,2060,485
139,2081,192,-16,0,2041,272,2050,388
140,2080,388,48,-32,2040,296,2061,97
140,2080,394,0,0,2040,306,2050,234
140,2080,396,0,0,2030,444,2050,235
140,2080,408,32,0,2030,450,2060,154
140,2080,412,16,-16,2031,213,2050,252
140,2081,64,48,-16,2040,296,2061,97
140,2081,72,0,0,2030,444,2050,235
140,2081,84,48,0,2031,206,2060,154
140,2081,87,16,-16,2031,213,2050,252
141,2070,418,0,64,2040,160,2051,92
141,2071,144,0,64,2040,160,2051,92
141,2080,283,-32,-16,2040,160,2050,318
141,2080,285,0,-16,2040,163,2050,319
141,2080,289,48,-16,2030,369,2050,324
141,2080,293,-48,0,2040,175,2051,100
141,2081,117,-32,0,2040,160,2050,318
141,2081,119,0,-48,2040,163,2050,319
141,2081,123,48,-16,2030,369,2050,324
141,2081,127,-48,-16,2040,175,2051,100
142,2070,458,32,80,2040,221,2060,259
142,2071,467,32,48,2030,363,2060,257
142,2071,468,32,80,2040,221,2060,259
142,2080,163,64,-32,2031,290,2060,257
142,2080,183,16,0,2030,382,2050,145
142,2081,329,64,-32,2031,290,2060,257
142,2081,348,16,0,2030,382,2050,145
143,2080,498,-16,-16,2031,283,2050,543
143,2080,512,-16,0,2030,263,2050,564
143,2081,141,-16,-16,2031,283,2050,543
143,2081,155,-16,0,2030,263,2050,564
144,2070,185,48,64,2031,482,2060,442
144,2070,192,16,64,2040,125,2060,466
144,2071,235,48,64,2031,482,2060,442
144,2071,242,16,80,2040,125,2060,466
144,2080,346,0,-16,2040,92,2050,312
144,2080,358,16,0,2031,490,2050,325
144,2080,359,16,0,2040,112,2050,326
144,2080,366,0,-96,2041,222,2050,330
144,2080,372,32,-16,2031,502,2060,466
144,2081,399,0,0,2040,92,2050,312
144,2081,412,16,-32,2031,490,2050,325
144,2081,413,0,0,2041,218,2050,326
144,2081,420,0,-80,2041,222,2050,330
144,2081,426,32,-32,2031,502,2060,466
146,2080,298,32,0,2040,350,2061,197
146,2081,54,0,0,2041,407,2050,257
146,2081,57,32,0,2040,350,2061,197
148,2080,456,-16,-16,2030,173,2050,418
148,2080,462,-48,0,2040,214,2051,70
148,2081,144,-48,0,2040,214,2051,70
148,2081,147,0,-16,2040,218,2050,428
149,2070,544,32,112,2040,308,2060,150
149,2070,550,0,96,2040,329,2051,129
149,2071,553,32,112,2040,308,2060,150
149,2071,557,0,128,2040,329,2051,129
149,2080,411,0,48,2040,329,2051,129
149,2080,416,64,-16,2041,513,2060,173
149,2080,417,80,-16,2040,336,2060,174
149,2081,285,0,16,2040,329,2051,129
149,2081,289,64,0,2041,513,2060,173
149,2081,290,80,0,2040,336,2060,174
150,2070,256,32,112,2031,409,2060,370
150,2071,262,32,96,2031,409,2060,370
150,2080,471,96,-32,2040,143,2061,273
150,2080,475,32,0,2031,409,2060,370
150,2081,61,96,-64,2040,143,2061,273
150,2081,65,32,-16,2031,409,2060,370
151,2070,407,16,48,2031,293,2060,335
151,2071,183,16,48,2031,293,2060,335
151,2080,569,16,-64,2031,293,2060,335
151,2080,573,-32,32,2030,216,2050,537
151,2081,495,-32,16,2030,216,2050,537
152,2070,371,-32,128,2040,203,2061,72
152,2071,427,-32,112,2040,203,2061,72
152,2080,150,64,16,2030,323,2060,245
152,2080,152,-32,0,2040,203,2061,72
152,2080,174,32,-32,2040,231,2060,268
152,2081,440,80,0,2041,388,2060,245
152,2081,441,-32,16,2040,203,2061,72
152,2081,464,32,-32,2040,231,2060,268
155,2070,468,160,112,2031,190,2050,107
155,2071,518,160,112,2031,190,2050,107
156,2070,426,-16,64,2041,392,2051,301
156,2071,71,-16,48,2041,392,2051,301
156,2080,355,16,-16,2031,154,2051,301
156,2081,225,16,0,2031,154,2051,301
157,2080,370,32,0,2031,138,2060,185
157,2080,380,16,0,2031,160,2050,292
157,2080,383,48,208,2040,254,2061,493
157,2081,81,0,-16,2030,44,2050,280
157,2081,90,16,0,2031,160,2050,292
158,2080,303,48,0,2031,174,2060,141
158,2081,252,64,0,2030,515,2060,141
160,2081,335,0,0,2030,387,2050,451
160,2081,356,0,0,2041,223,2051,178
161,2070,377,-160,272,2030,480,2061,515
161,2071,526,-160,256,2030,480,2061,515
161,2071,528,16,48,2040,189,2060,413
161,2080,251,32,32,2030,455,2050,194
161,2080,270,-160,176,2030,480,2061,515
161,2080,274,16,-80,2040,189,2060,413
161,2081,102,32,32,2030,455,2050,194
161,2081,119,-160,160,2030,480,2061,515
161,2081,123,16,-64,2040,189,2060,413
162,2080,417,-16,0,2031,188,2050,470
162,2081,338,0,0,2031,183,2050,466
162,2081,343,-16,-16,2031,188,2050,470
163,2080,363,-16,48,2031,295,2050,413
163,2081,71,-16,0,2031,295,2050,413
164,2070,419,-16,64,2040,326,2060,492
164,2071,507,-16,64,2040,326,2060,492
164,2080,288,-16,144,2040,326,2060,492
164,2081,187,-16,-64,2040,326,2060,492
165,2080,247,48,0,2030,478,2060,309
165,2080,252,48,-16,2031,353,2060,315
165,2081,444,64,-16,2031,344,2060,309
165,2081,449,48,0,2031,353,2060,315
166,2080,371,16,-32,2030,115,2050,433
166,2081,470,16,-16,2030,115,2050,433
167,2080,516,16,48,2030,165,2050,481
