event,channel,waveform_index_save,dt_ns_coinc,dt_ns_save,channel_coincident_left,waveform_index_coincident_left,channel_coincident_right,waveform_index_coincident_right
12,2050,392,64,-16,2080,338,2010,420
12,2051,82,48,-16,2080,315,2010,395
12,2051,105,64,-48,2080,333,2010,418
12,2051,108,48,16,2081,169,2010,420
12,2060,209,48,16,2080,315,2010,395
12,2060,231,32,64,2080,330,2010,416
12,2060,234,48,16,2081,164,2010,418
12,2060,240,-48,16,2070,285,2010,420
12,2061,58,-16,0,2071,448,2010,395
12,2061,73,48,16,2081,164,2010,418
12,2061,78,-48,16,2070,285,2010,420
13,1020,831,48,48,2081,229,2010,172
13,1020,839,32,32,2081,236,2021,346
13,1021,718,48,64,2081,229,2010,172
13,1021,726,32,32,2081,236,2021,346
13,1040,1350,32,48,2081,236,2021,346
13,1041,951,32,48,2081,236,2021,346
13,1060,1102,80,32,2080,356,2010,166
13,1060,1114,48,0,2081,229,2010,172
13,1060,1125,80,0,2081,237,2010,178
13,1060,1140,48,48,2080,382,2010,183
13,1061,68,80,48,2080,356,2010,166
13,1061,80,64,-16,2080,364,2010,172
13,1061,91,80,32,2081,237,2010,178
13,1061,107,48,32,2080,382,2010,183
13,1080,759,80,64,2080,356,2010,166
13,1080,772,48,32,2081,229,2010,172
13,1080,785,80,32,2081,237,2010,178
13,1080,803,48,32,2080,382,2010,183
13,1081,985,80,64,2080,356,2010,166
13,1081,997,48,32,2081,229,2010,172
13,1081,1010,80,16,2081,237,2010,178
13,1081,1027,48,32,2080,382,2010,183
13,2030,559,80,112,2081,237,2010,178
13,2031,520,32,0,2081,236,2021,346
13,2040,141,32,0,2081,236,2021,346
13,2040,154,48,32,2080,382,2010,183
13,2041,441,32,0,2081,236,2021,346
13,2050,261,80,0,2080,356,2010,166
13,2050,269,48,0,2081,229,2010,172
13,2050,279,80,-48,2081,237,2010,178
13,2050,293,64,-32,2081,247,2010,183
13,2051,300,80,0,2080,356,2010,166
13,2051,308,64,0,2080,364,2010,172
13,2051,318,80,0,2081,237,2010,178
13,2051,331,64,-16,2081,247,2010,183
13,2060,468,80,48,2080,356,2010,166
13,2060,475,48,16,2081,229,2010,172
13,2060,484,80,48,2081,237,2010,178
13,2060,497,48,32,2080,382,2010,183
13,2061,189,80,48,2080,356,2010,166
13,2061,195,48,32,2081,229,2010,172
13,2061,203,80,80,2081,237,2010,178
13,2061,216,48,32,2080,382,2010,183
14,1020,1257,0,-16,2071,572,2010,552
14,1060,1202,0,-16,2071,572,2010,552
14,1060,1214,32,64,2080,399,2010,557
14,1060,1225,48,48,2080,406,2010,564
14,1061,894,32,48,2080,399,2010,557
14,1061,906,48,64,2080,406,2010,564
14,1080,818,0,-16,2071,572,2010,552
14,1080,828,32,16,2080,399,2010,557
14,1081,939,0,-16,2071,572,2010,552
