sample,mean,median,percentile_16,percentile_84
418,18.999372482299805,21,-6,60.5
419,17.810752868652344,20,-6.5,59
420,16.648477554321289,19,-7,57
421,15.451647758483887,18,-7.5,55
422,14.324723243713379,17.5,-8,53.5
423,13.204413414001465,17,-9,52
424,12.078742980957031,16,-10,50.5
425,10.957862854003906,15,-10.5,49
426,9.8573951721191406,14,-11,47
427,8.7654809951782227,13,-12,46
428,7.6975140571594238,12,-13,45
429,6.6410651206970215,11,-13,44
430,5.6095905303955078,11,-14,42.5
431,4.5367202758789062,10,-14.5,41
432,3.472402811050415,9,-16,39
433,2.4243927001953125,8,-16.5,38
434,1.3759266138076782,7,-17,37
435,0.31069678068161011,6,-18,36
436,-0.67390811443328857,5.5,-19,34
437,-1.6776713132858276,5,-20,33
438,-2.676074743270874,4,-21,32
439,-3.6569163799285889,3,-21.5,31
440,-4.6842856407165527,2,-22,29
441,-5.6296610832214355,2,-23.059999999999945,28.5
442,-6.587125301361084,1,-24,28
443,-7.5386590957641602,0,-25.5,26
444,-8.466130256652832,-1,-26,25
445,-9.3779792785644531,-1.5,-27.059999999999945,24
446,-10.258467674255371,-2,-28.5,23
447,-11.192781448364258,-3,-29,22
448,-12.062321662902832,-4,-30.5,21
449,-12.977933883666992,-5,-31.5,20.5
450,-13.851009368896484,-5.5,-32.5,19.5
451,-14.704241752624512,-6,-33,18
452,-15.587239265441895,-7,-34,17.059999999999945
453,-16.46727180480957,-7.5,-35.5,17
454,-17.256755828857422,-8,-36,16
455,-18.080909729003906,-9,-37,15
456,-18.941669464111328,-10,-39,14.5
457,-19.769357681274414,-10,-40,14
458,-20.6490478515625,-11,-41,12.5
459,-21.455867767333984,-12,-42,12
460,-22.266677856445312,-12,-43,11
461,-23.09984016418457,-13,-44,11
462,-23.892518997192383,-14,-45,10
463,-24.687479019165039,-14.5,-46,9
464,-25.461912155151367,-15.5,-47,8
465,-26.252536773681641,-16,-48,8
466,-26.999942779541016,-16.5,-49,7
467,-27.742330551147461,-17,-50,6
468,-28.483236312866211,-18,-51.5,6
469,-29.232124328613281,-18,-53,5.5
470,-29.975994110107422,-19,-54,5
471,-30.741189956665039,-19.5,-55,4
472,-31.454156875610352,-20,-56,4
473,-32.147052764892578,-21,-57,3
474,-32.870853424072266,-21,-58,3
475,-33.601951599121094,-22,-59.5,2
476,-34.287433624267578,-22.5,-61,1.5
477,-34.974285125732422,-23,-62,1
478,-35.661705017089844,-24,-63,0.5
479,-36.361103057861328,-24,-64,0
480,-37.046699523925781,-25,-65,0
481,-37.765365600585938,-25.5,-66,-1
482,-38.436595916748047,-26,-66.559999999999945,-1
483,-39.093910217285156,-26.5,-68,-2
484,-39.750770568847656,-27,-69,-2
485,-40.445262908935547,-28,-70,-2
486,-41.090602874755859,-28,-71.5,-3
487,-41.756698608398438,-29,-73,-3
488,-42.422908782958984,-29,-74,-4
489,-43.106113433837891,-30,-75,-4
490,-43.723628997802734,-31,-76,-4
491,-44.344223022460938,-31.5,-76.5,-4.5
492,-44.975311279296875,-32,-78,-5
493,-45.571502685546875,-32.5,-79,-5
494,-46.187992095947266,-33,-79,-6
495,-46.815200805664062,-33.5,-80.5,-6
496,-47.412532806396484,-34,-81,-7
497,-48.036891937255859,-35,-82.5,-7
498,-48.662277221679688,-35,-84,-7
499,-49.284469604492188,-36,-85,-8
500,-49.855113983154297,-36.5,-86,-8
501,-50.428955078125,-37,-87,-8
502,-51.013401031494141,-37.5,-88,-9
503,-51.552684783935547,-38,-88.5,-9
504,-52.135532379150391,-38.5,-89.059999999999945,-9
505,-52.685310363769531,-39,-90,-9
506,-53.247859954833984,-39.5,-91.5,-10
507,-53.771297454833984,-40,-92,-10
508,-54.319820404052734,-40.5,-93,-10
509,-54.877922058105469,-41,-94,-10
510,-55.403297424316406,-42,-95,-11
511,-55.926044464111328,-42,-96,-11
512,-56.451877593994141,-43,-97,-11
513,-56.974624633789062,-43,-98,-11
514,-57.505588531494141,-44,-99.559999999999945,-12
515,-58.003932952880859,-44,-100,-12
516,-58.512088775634766,-44.5,-100.55999999999995,-12
517,-59.028224945068359,-45,-102,-12.5
518,-59.485404968261719,-45,-103,-13
519,-59.957180023193359,-45.5,-103.5,-13
520,-60.436595916748047,-46,-105,-13
521,-60.946800231933594,-46,-105,-13.5
522,-61.418350219726562,-47,-106,-13.5
523,-61.879745483398438,-47,-107,-14
524,-62.376724243164062,-48,-107.5,-14
525,-62.872791290283203,-48,-109,-14
526,-63.320163726806641,-48.5,-110,-14
527,-63.767646789550781,-49,-110,-14.5
528,-64.219467163085938,-49,-111,-15
529,-64.659538269042969,-50,-112,-15
530,-65.125267028808594,-50,-112,-15
531,-65.542533874511719,-50.5,-113,-15
532,-65.990821838378906,-51,-114,-15.5
