sample,mean,median,percentile_16,percentile_84
308,232.68917846679688,162,73.5,384.5
309,229.81288146972656,160,72.5,380
310,226.988525390625,158,71.5,374
311,224.19342041015625,156,70.579999999999927,370
312,221.43118286132812,154,69.5,364
313,218.69688415527344,152,68.5,360
314,215.95977783203125,150.5,67.5,355
315,213.29727172851562,149,67,351
316,210.65400695800781,147,65.5,346.5
317,208.03627014160156,145,65,342
318,205.44378662109375,143,64,337.5
319,202.86738586425781,141,63,333.42000000000007
320,200.32077026367188,140,62,329
321,197.80412292480469,138,61,325
322,195.30987548828125,136,60,321
323,192.82542419433594,134.5,59,317
324,190.36421203613281,133,58.5,313
325,187.91127014160156,131,58,308.5
326,185.47654724121094,129,57,304.5
327,183.05279541015625,127,56,301
328,180.67837524414062,125.5,55,297
329,178.3175048828125,124,54,293
330,175.97149658203125,122,53.5,289.5
331,173.67466735839844,121,52.5,285.5
332,171.40232849121094,119,52,282
333,169.14665222167969,118,51,279
334,166.92791748046875,116,50,275
335,164.70790100097656,114,49,271
336,162.54312133789062,113,49,268
337,160.39764404296875,112,48,265
338,158.288818359375,110,47,261
339,156.16709899902344,109,46,257.5
340,154.06333923339844,107,45.5,254
341,151.98616027832031,106,45,251
342,149.94378662109375,104,44,248
343,147.89726257324219,103,43,245
344,145.85382080078125,101.5,42,241.42000000000007
345,143.86456298828125,100,41.5,238
346,141.87910461425781,99,41,234.5
347,139.89485168457031,97,40,231
348,137.93307495117188,96,39,228
349,135.98562622070312,94,39,224
350,134.0677490234375,93,38,221
351,132.15255737304688,92,37,218
352,130.26783752441406,90,36.5,214.5
353,128.38912963867188,89,36,211.5
354,126.52481842041016,87.5,35,208.92000000000007
355,124.69077301025391,86,34.5,206
356,122.85504150390625,85,34,203
357,121.04579925537109,84,33,200
358,119.30308532714844,83,33,197
359,117.53045654296875,81,32,195
360,115.786376953125,80,31,192
361,114.06891632080078,79,31,189
362,112.36622619628906,78,30,186
363,110.68368530273438,77,29.5,183
364,109.03078460693359,75.5,29,180.42000000000007
365,107.38153839111328,74,28,177.5
366,105.76898956298828,73,27.5,175
367,104.13840484619141,72,27,172
368,102.55256652832031,71,26.5,170
369,100.9769287109375,70,26,167
370,99.425773620605469,68.5,25,165
371,97.865066528320312,67.5,25,162
372,96.340614318847656,66,24,160
373,94.806999206542969,65,23,157
374,93.312965393066406,64,23,154.5
375,91.805305480957031,63,22,152
376,90.293472290039062,62,22,149.5
377,88.8291015625,61,21,147
378,87.379959106445312,60,20.5,145
379,85.938148498535156,59,20,142.5
380,84.498237609863281,58,19,140
381,83.091110229492188,57,19,138
382,81.689109802246094,56,18,135
383,80.267951965332031,55,18,133
384,78.904029846191406,54,17,131
385,77.530014038085938,53,16.5,129
386,76.168876647949219,52,16,127
387,74.805572509765625,51,15.5,124.92000000000007
388,73.467643737792969,50,15,122.92000000000007
389,72.132087707519531,49,15,120.5
390,70.831748962402344,48,14,119
391,69.548027038574219,47,14,117
392,68.229171752929688,46,13,115
393,66.932540893554688,45,13,112
394,65.6461181640625,44,12,110
395,64.380020141601562,43.5,12,109
396,63.112529754638672,42.5,11,106.5
397,61.842575073242188,42,11,105
398,60.607398986816406,41,10,103
399,59.351951599121094,40,10,100.5
400,58.145793914794922,39,9,99
401,56.939483642578125,38,9,97
402,55.745162963867188,37,8,95
403,54.560100555419922,36.5,8,93
404,53.389873504638672,36,7,91.5
405,52.208965301513672,35,7,89
406,51.070098876953125,34,6,87.5
407,49.935420989990234,33,6,86
408,48.806880950927734,32,5,84
409,47.724216461181641,31.5,5,82.5
410,46.639888763427734,31,4,81
411,45.573955535888672,30,4,79
412,44.512477874755859,29,3,78
413,43.453876495361328,28.5,3,76
414,42.433696746826172,27.5,2,74.5
415,41.403522491455078,27,2,73
416,40.380466461181641,26,1,71
417,39.351001739501953,25,1,70
418,38.346195220947266,24.5,0,68
419,37.331447601318359,24,0,66.5
420,36.3292236328125,23,-0.5,65
421,35.325839996337891,22,-1,63.5
422,34.351417541503906,21.5,-1.5,62
423,33.380287170410156,21,-2,61
424,32.401771545410156,20,-2.5,59
425,31.440790176391602,19,-3,58
426,30.502151489257812,18.5,-3.5,57
427,29.547075271606445,18,-4,55
428,28.624488830566406,17,-5,54
429,27.713830947875977,16.5,-5,53
430,26.838481903076172,16,-5.5,52
431,25.932659149169922,15,-6,51
432,25.070039749145508,14,-6.5,49
433,24.162349700927734,14,-7,48
434,23.303586959838867,13,-7.5,47
435,22.440166473388672,12,-8,46
436,21.567132949829102,12,-9,45
437,20.714868545532227,11,-9,43.5
438,19.8709716796875,10,-9.5,42.5
439,19.038558959960938,10,-10,41.5
440,18.182882308959961,9,-11,40
441,17.365156173706055,8.5,-11,39
442,16.552652359008789,8,-12,38
443,15.724720001220703,7,-12.5,37
444,14.905362129211426,7,-13,36
445,14.11057186126709,6,-14,35
446,13.32984733581543,5,-14,34
447,12.539360046386719,5,-15,33
448,11.759524345397949,4,-15,32
449,10.988709449768066,4,-16,31
450,10.239912033081055,3,-16.5,30
451,9.4923887252807617,2.5,-17,30
452,8.772639274597168,2,-18,29
453,8.0268974304199219,1,-18,28
454,7.316554069519043,1,-19,27
455,6.5780816078186035,0,-19.5,26
456,5.8558692932128906,0,-20,26
457,5.1592340469360352,-1,-21,25
458,4.4685330390930176,-1,-21,24
459,3.7521955966949463,-2,-22,23.5
460,3.0625333786010742,-2,-23,23
461,2.3645331859588623,-3,-23,22
462,1.6789360046386719,-3,-24,21.5
463,0.97040235996246338,-4,-25,21
464,0.30765235424041748,-4,-25.5,20
465,-0.36586850881576538,-5,-26,20
466,-1.0277283191680908,-5,-27,19
467,-1.6868582963943481,-6,-27,18
468,-2.3427245616912842,-6,-28,17.5
469,-3.002507209777832,-6.5,-29,17
470,-3.6297104358673096,-7,-29,16
471,-4.2496438026428223,-7,-30,16
472,-4.8615069389343262,-8,-31,15
473,-5.4704318046569824,-8,-31,15
474,-6.0884370803833008,-9,-32,14
475,-6.6812505722045898,-9,-33,14
476,-7.2609786987304688,-9.5,-33,13
477,-7.8547711372375488,-10,-34,13
478,-8.4524211883544922,-10,-35,12
479,-9.0501604080200195,-11,-35.5,12
480,-9.6265649795532227,-11,-36,11
481,-10.209854125976562,-11.5,-37,11
482,-10.774775505065918,-12,-38,10.5
483,-11.349934577941895,-12,-38,10
484,-11.911592483520508,-12.5,-39,10
485,-12.494852066040039,-13,-40,9
486,-13.06977367401123,-13,-40.5,9
487,-13.626327514648438,-14,-41,8
488,-14.183505058288574,-14,-42,8
489,-14.724808692932129,-14.5,-42.5,8
490,-15.250889778137207,-15,-43,7
491,-15.790057182312012,-15,-44,7
492,-16.321687698364258,-15.5,-45,6.5
493,-16.847799301147461,-16,-45,6
494,-17.365066528320312,-16,-46,6
495,-17.871417999267578,-16,-47,5.5
496,-18.392839431762695,-17,-47,5
497,-18.892454147338867,-17,-48,5
498,-19.40479850769043,-17,-48.5,4.5
499,-19.913017272949219,-18,-49,4
500,-20.407230377197266,-18,-50,4
501,-20.919425964355469,-18,-50.920000000000073,3.5
502,-21.396133422851562,-19,-51,3
503,-21.917913436889648,-19,-52,3
504,-22.405006408691406,-19,-53,2.5
505,-22.841714859008789,-19.5,-53,2
506,-23.317266464233398,-20,-54,2
507,-23.796169281005859,-20,-55,1.5
508,-24.267446517944336,-20,-55,1
509,-24.712732315063477,-21,-56,1
510,-25.153209686279297,-21,-56.920000000000073,1
511,-25.621965408325195,-21,-57,1
512,-26.075677871704102,-21.5,-58,0
513,-26.531110763549805,-22,-58.5,0
514,-26.963310241699219,-22,-59,0
515,-27.388833999633789,-22,-59.5,-0.5
516,-27.803766250610352,-23,-60,-1
517,-28.224422454833984,-23,-61,-1
518,-28.635644912719727,-23,-61,-1
519,-29.060901641845703,-23.5,-62,-1.5
520,-29.497344970703125,-24,-63,-2
521,-29.882158279418945,-24,-63,-2
522,-30.294656753540039,-24,-64,-2
523,-30.696323394775391,-24,-64,-2
524,-31.09962272644043,-25,-65,-3
525,-31.5123291015625,-25,-66,-3
526,-31.898921966552734,-25,-66,-3
527,-32.299018859863281,-26,-67,-3
528,-32.663330078125,-26,-67,-4
529,-33.046600341796875,-26,-68,-4
530,-33.417644500732422,-26,-69,-4
531,-33.777534484863281,-26.5,-69,-4
532,-34.129741668701172,-27,-69.5,-4
533,-34.518234252929688,-27,-70,-4.5
534,-34.883613586425781,-27,-70.5,-5
535,-35.261898040771484,-27.5,-71,-5
536,-35.596954345703125,-28,-71.5,-5
537,-35.948978424072266,-28,-72,-5
538,-36.289817810058594,-28,-73,-5.5
539,-36.645496368408203,-28,-73,-6
540,-36.990993499755859,-29,-74,-6
541,-37.331447601318359,-29,-74,-6
542,-37.654277801513672,-29,-75,-6
543,-37.993782043457031,-29,-75.5,-6
544,-38.329845428466797,-29.5,-76,-7
545,-38.656295776367188,-30,-76,-7
546,-38.968116760253906,-30,-77,-7
547,-39.294033050537109,-30,-77,-7
548,-39.608554840087891,-30.5,-78,-7
549,-39.942569732666016,-31,-78,-7
550,-40.251689910888672,-31,-79,-7.5
551,-40.550395965576172,-31,-79,-8
552,-40.868450164794922,-31,-80,-8
553,-41.167095184326172,-31.25,-80,-8
554,-41.467166900634766,-32,-81,-8
555,-41.790885925292969,-32,-81,-8
556,-42.093482971191406,-32,-82,-9
557,-42.379814147949219,-32,-82,-9
558,-42.656147003173828,-32,-83,-9
559,-42.969066619873047,-32.5,-83,-9
560,-43.24462890625,-33,-83,-9
561,-43.532058715820312,-33,-84,-9
562,-43.774806976318359,-33,-84,-9
563,-44.047756195068359,-33,-85,-9.5
564,-44.340736389160156,-33.5,-85,-10
565,-44.619564056396484,-34,-85.5,-10
566,-44.883106231689453,-34,-86,-10
567,-45.146919250488281,-34,-86,-10
568,-45.407855987548828,-34,-87,-10
569,-45.656177520751953,-34,-87,-10
570,-45.935508728027344,-35,-87.5,-10
571,-46.206562042236328,-35,-88,-10.5
572,-46.487316131591797,-35,-88.5,-11
573,-46.749820709228516,-35,-89,-11
574,-47.006511688232422,-35,-89,-11
575,-47.247714996337891,-35.5,-89.5,-11
576,-47.497581481933594,-36,-90,-11
577,-47.746616363525391,-36,-90,-11
578,-47.977970123291016,-36,-91,-11
579,-48.217330932617188,-36,-91,-11.5
580,-48.469394683837891,-36,-91,-12
581,-48.708786010742188,-37,-91.5,-12
582,-48.908416748046875,-37,-92,-12
583,-49.133895874023438,-37,-92,-12
584,-49.37200927734375,-37,-93,-12
585,-49.569595336914062,-37,-93,-12
586,-49.80133056640625,-37,-93,-12
587,-50.003368377685547,-37,-93.5,-12
588,-50.228427886962891,-37.5,-94,-12
589,-50.434497833251953,-38,-94.5,-12.5
